Id;Title;Year;Journal;First_Author;Abstract;Year_class
1;Academic outcomes in childhood-onset systemic lupus erythematosus.;2012;Arthritis care & research;Zelko F;OBJECTIVE: To explore academic outcomes in childhood-onset systemic lupus erythematosus (cSLE) and their relationship to variables such as demographic and  socioeconomic status, neurocognitive functioning, behavioral/emotional adjustment, and cSLE disease status. METHODS: Forty pairs of children diagnosed with cSLE and healthy best friend controls were rated by parents on a standardized scale of school competence. Information about participants' demographic and socioeconomic status was obtained, along with measures of cSLE disease activity and damage. All of the participants received formal neurocognitive testing and were also rated on standardized scales of behavioral/emotional adjustment and executive functioning. RESULTS: Compared to healthy controls, school competence was rated as lower in the cSLE group, although the groups did not differ significantly on indices of cognitive, behavioral, emotional, or executive functioning. School competence ratings were correlated with reading and mathematics achievement test scores in both groups, and with ratings of mental self-regulation in the cSLE group. School competence ratings were correlated with measures of cSLE disease activity and treatment intensity. CONCLUSION: cSLE is associated with inferior parent-rated academic outcomes compared to those noted in demographically-matched peers, despite similar neurocognitive function. The adverse academic outcomes that distinguish children with cSLE from their demographically-matched peers appear to be mediated by SLE disease activity and treatment.;2010-2012
2;The -2518 A/G polymorphism in the monocyte chemoattractant protein 1 gene is associated with the risk of developing systemic lupus erythematosus in Argentinean patients: a multicenter study.;2012;European cytokine network;Aranda F;Systemic lupus erythematosus (SLE) is a systemic, autoimmune disorder. Monocyte chemoattractant protein 1 (MCP-1), a chemokine involved in the recruitment and migration of monocytes/macrophages, has been shown to be increased in the plasma  of SLE patients. The aim of our study was to evaluate the possible association of the polymorphism -2518 of the MCP-1 gene with the risk of developing SLE, manifesting lupus nephritis (LN) and with other clinical features of SLE in an Argentinean population. A group of 171 SLE patients and 120 control subjects were examined. Genotypic and allelic frequencies of the MCP-1 -2518 A/G polymorphism showed significant differences between the SLE and the control groups (p=0.001 and p=0.01, respectively). However, the polymorphism showed no association with LN or with the other clinical variables studied. Our results suggest that the presence of the MCP-1 -2518 A/G polymorphism might be a risk factor for developing SLE in genetically predisposed individuals, but it does not seem to have a role in the evolution of the disease in the Argentinean population.;2010-2012
3;Using exercise training to counterbalance chronotropic incompetence and delayed heart rate recovery in systemic lupus erythematosus: a randomized trial.;2012;Arthritis care & research;Miossi R;"OBJECTIVE: To evaluate the efficacy of a 3-month exercise training program in counteracting the chronotropic incompetence and delayed heart rate recovery in patients with systemic lupus erythematosus (SLE). METHODS: A 12-week randomized trial was conducted. Twenty-four inactive SLE patients were randomly assigned into 2 groups: trained (T; n = 15, 3-month exercise program) and nontrained (NT;  n = 13). A sex-, body mass index-, and age-matched healthy control (C) group (n = 8) also underwent the exercise program. Subjects were assessed at baseline and at 12 weeks after training. Main measurements included the chronotropic reserve (CR) and the heart rate (HR) recovery (DeltaHRR) as defined by the difference between  HR at peak exercise and at both the first (DeltaHRR1) and second (DeltaHRR2) minutes after the exercise test. RESULTS: Neither the NT SLE patients nor the C group presented any change in the CR or in DeltaHRR1 and DeltaHRR2 (P > 0.05). The exercise training program was effective in promoting significant increases in CR (P = 0.007, effect size [ES] 1.15) and in DeltaHRR1 and DeltaHRR2 (P = 0.009,  ES 1.12 and P = 0.002, ES 1.11, respectively) in the SLE T group when compared with the NT group. Moreover, the HR response in SLE patients after training achieved parameters comparable to the C group, as evidenced by the analysis of variance and by the Z score analysis (P > 0.05, T versus C). Systemic Lupus Erythematosus Disease Activity Index scores remained stable throughout the study. CONCLUSION: A 3-month exercise training program was safe and capable of reducing  the chronotropic incompetence and the delayed DeltaHRR observed in physically inactive SLE patients.";2010-2012
4;QT dispersion in patients with systemic lupus erythematosus: the impact of disease activity.;2012;BMC cardiovascular disorders;Kojuri J;"BACKGROUND: Patients with systemic lupus erythematosus (SLE) have increased cardiovascular morbidity and mortality. Although autopsy studies have documented  that the heart is affected in most SLE patients, clinical manifestations occur in less than 10%. QT dispersion is a new parameter that can be used to assess homogeneity of cardiac repolarization and autonomic function. We compared the increase in QT dispersion in SLE patients with high disease activity and mild or  moderate disease activity. METHODS AND RESULTS: One hundred twenty-four patients  with SLE were enrolled in the study. Complete history and physical exam, ECG, echocardiography, exercise test and SLE disease activity index (SLEDAI) were recorded. Twenty patients were excluded on the basis of our exclusion criteria. The patients were divided to two groups based on SLEDAI: 54 in the high-score group (SLEDAI > 10) and 50 in the low-score group (SLEDAI < 10).QT dispersion was significantly higher in high-score group (58.31 +/- 18.66 vs. 47.90 +/- 17.41 respectively; P < 0.004). QT dispersion was not significantly higher in patients  who had received hydroxychloroquine (54.17 +/- 19.36 vs. 50.82 +/- 15.96, P = 0.45) or corticosteroids (53.58 +/- 19.16 vs. 50.40 + 11.59, P = 0.47). There was a statistically significant correlation between abnormal echocardiographic findings (abnormalities of pericardial effusion, pericarditis, pulmonary hypertension and Libman-Sacks endocarditis) and SLEADI (P < 0.004). CONCLUSIONS:  QT dispersion can be a useful, simple noninvasive method for the early detection  of cardiac involvement in SLE patients with active disease. Concerning high chance of cardiac involvement, cardiovascular evaluation for every SLE patient with a SLEDAI higher than 10 may be recommended. TRIAL REGISTRATION: Clinicaltrial.gov registration NCT01031797.";2010-2012
5;HMOX1 promoter (GT)n polymorphim is associated with childhood-onset systemic lupus erythematosus but not with juvenile rheumatoid arthritis in a Mexican population.;2012;Clinical and experimental rheumatology;Cordova EJ;"OBJECTIVES: The heme oxigenase 1 (HO-1), a rate-limiting enzyme for heme degradation, is an important cytoprotective protein. Transcriptional activity of  HO-1 coding gene (HMOX1) can be regulated by the presence of a dinucleotide repeat polymorphism (GT)n at its promoter region. Accordingly, length of (GT)n repeat has been associated with susceptibility to several diseases. We investigated whether the HMOX1 (GT)n polymorphism was associated with childhood-onset systemic lupus erythematosus (SLE) and juvenile rheumatoid arthritis (JRA) susceptibility. METHODS: We studied 207 and 333 unrelated Mexican patients with JRA and childhood-onset SLE, respectively. The control population consisted of 653 individuals ethnically matched with cases. The HMOX1 (GT)n polymorphism was genotype by PCR and fluorescence technology. RESULTS: We found 27 different alleles, with the 22 and 29 repeats as the most common alleles. Distribution of short allele (n<25) and SS genotype was not statistically associated with JRA subjects. Interestingly, the frequency of both short allele and SS genotype was significantly associated with SLE susceptibility (OR=1.47, 95%CI [1.14-1.89], p=0.002; and OR=2.79, 95%CI [1.24-6.24], p=0.01, respectively). CONCLUSIONS: The distribution pattern of HMOX1 (GT) alleles was different in the Mexican population than those reported elsewhere. Our results suggest that HMOX1 (GT)n polymorphism was associated with susceptibility to childhood-onset SLE but not with JRA in Mexican individuals.";2010-2012
6;Belimumab in the treatment of systemic lupus erythematosus: high disease activity predictors of response.;2012;Annals of the rheumatic diseases;van Vollenhoven RF;"OBJECTIVES: To identify factors that predict response to belimumab treatment in the phase 3 BLISS trials of autoantibody-positive systemic lupus erythematosus (SLE) and further analyse clinical efficacy in various patient subsets. METHODS:  The BLISS trials compared belimumab 1 and 10 mg/kg versus placebo, all plus standard SLE therapy, over 52 or 76 weeks. Pooled subgroup analyses of week 52 SLE responder index rates (the primary endpoint in both trials) were performed based on demographic characteristics and baseline disease activity indicators. Pooled multivariate analysis was performed to determine predictors of response and treatment effect. RESULTS: Pooled univariate and multivariate analyses (N=1684) identified baseline factors associated with an increased benefit of belimumab versus placebo. These factors included the Safety Of Estrogens In Lupus Erythematosus National Assessment-Systemic Lupus Erythematosus Disease Activity Index (SELENA-SLEDAI) >/=10, low complement, anti-dsDNA positivity and corticosteroid use. Efficacy outcomes were assessed in the low complement/anti-dsDNA-positive and SELENA-SLEDAI >/=10 subgroups. Week 52 SLE Responder Index rates in the low complement/anti-dsDNA-positive subgroup were 31.7%, 41.5% (p=0.002) and 51.5% (p<0.001) with placebo and belimumab 1 mg/kg and 10 mg/kg, respectively; corresponding rates in the SELENA-SLEDAI >/=10 subgroup were 44.3%, 58.0% (p<0.001) and 63.2% (p<0.001). Further analysis of secondary endpoints in the low complement/anti-dsDNA-positive subgroup showed that compared with placebo, belimumab produced greater benefits regarding severe flares, corticosteroid use and health-related quality of life. CONCLUSIONS: These findings suggest that belimumab has greater therapeutic benefit than standard therapy alone in patients with higher disease activity, anti-dsDNA positivity, low complement or corticosteroid treatment at baseline. CLINICALTRIALS.GOV: identifiers NCT00424476 and NCT00410384.";2010-2012
7;Efficacy and safety of methotrexate in articular and cutaneous manifestations of  systemic lupus erythematosus.;2012;International journal of rheumatic diseases;Islam MN;AIM: A prospective open-label study comparing the efficacy and safety of methotrexate (MTX) and chloroquine (CQ) in articular and cutaneous manifestations of systemic lupus erythematosus (SLE). METHODS: Consecutive SLE patients were randomly assigned to either 10 mg MTX weekly or 150 mg CQ daily during 24 weeks.  Outcome measures were: numbers of swollen and tender joints, duration of morning  stiffness, visual analog scale (VAS) for articular pain, physician global assessment index, patient global assessment index, SLE Disease Activity Index (SLEDAI), disappearance of skin rash and erythrocyte sedimentation rate (ESR). RESULTS: Forty-one patients consented to participate, 15 were allocated in the MTX group and 26 in the CQ group. Two patients on MTX dropped out due to side-effects and two in the CQ group, one due to side-effects and one due to inefficacy. Baseline demographic, clinical and laboratory parameters of the two groups were nearly identical. In both groups the clinical and laboratory parameters improved significantly over 24 weeks, except the ESR in the MTX group. The results of the outcome measures at the end of the trial did not differ significantly between the two groups, except morning stiffness (P < 0.05 in favor of the MTX group) and ESR (P < 0.01 in favor of the CQ group). Rise of serum alanine aminotransferase was observed in two cases in the MTX group and in none in the CQ group. CONCLUSION: Low-dose MTX appears to be as effective as CQ in patients with articular and cutaneous manifestations of SLE, having an acceptable toxicity profile. Results of this prospective study need to be confirmed in a larger study.;2010-2012
8;Vitamin D levels: its relationship to bone mineral density response and disease activity in premenopausal Malaysian systemic lupus erythematosus patients on corticosteroids.;2012;International journal of rheumatic diseases;Yeap SS;AIM: To determine if baseline vitamin D levels would influence the gain in bone mineral density (BMD) in female systemic lupus erythematosus (SLE) patients on corticosteroids (CS) taking bone-active medication. METHOD: Premenopausal SLE patients participating in a trial assessing the efficacy of calcium alone, calcitriol and calcium, and alendronate and calcium, on BMD in patients on CS, were studied. Patients were randomly allocated to the treatment groups at the start of the study and followed up for 2 years. Serum 25-hydroxy vitamin D [25(OH)D] was measured at baseline. RESULTS: Thirty-eight patients were studied.  One (2%) patient had osteoporosis, nine (24%) had osteopenia and all others had normal BMD. The mean baseline 25(OH)D levels were 21.6 +/- 4.6 ng/mL (+/- 1 SD).  Twelve (32%) patients had vitamin D deficiency [25(OH)D < 20 ng/mL]. There was a  significant negative correlation between SLEDAI scores and 25(OH)D levels, that is, patients with high SLEDAI scores had significantly lower 25(OH)D levels (P =  0.033). Left femoral neck BMD was significantly lower in the deficient compared to insufficient group (P = 0.042). There was a trend toward better BMD gain at 2  years in the vitamin D insufficient compared to the deficient group, which did not reach statistical significance. CONCLUSION: This study showed that in female  SLE patients, low vitamin D levels are associated with higher disease activity and suggests that patients who have higher vitamin D levels have a better BMD response during treatment with bone-active agents.;2010-2012
9;Weight loss and improvements in fatigue in systemic lupus erythematosus: a controlled trial of a low glycaemic index diet versus a calorie restricted diet in patients treated with corticosteroids.;2012;Lupus;Davies RJ;"BACKGROUND: Patients with systemic lupus erythematosus (SLE) may require prolonged periods of corticosteroid therapy which lead to excessive weight gain and increased cardiovascular risk. OBJECTIVE: To assess the utility of a low glycaemic index diet in patients with corticosteroid dependent SLE in achieving weight loss and improving glycaemic control. DESIGN: A total of 23 women were enrolled in a 6 week study. All had mild, stable SLE, were receiving corticosteroids and had a body mass index > 25 kg/m(2). Subjects were randomly assigned to a low glycaemic index (Low GI) diet or a calorie restricted (Low Cal) diet. The primary end point was weight loss. Secondary end points included tolerability of diet, bio-markers of cardiovascular risk, disease activity, fatigue and sleep quality. RESULTS: Weight loss in both treatment groups was significant (mean +/- SD: Low GI diet 3.9 +/- 0.9 kg; Low Cal diet 2.4 +/- 2.2 kg, p < 0.01 from baseline in each group). There were also significant improvements in waist and hip measurements. However, the difference in weight loss and waist and hip measurements between the two diet groups was not statistically significant. There was a statistically significant reduction in Fatigue Severity Scale in both diet groups, (p < 0.03). Both Low GI and Low Cal diets were well tolerated, resulting in no serious adverse effects or increase in disease activity. CONCLUSION: Significant weight loss is achievable over 6 weeks  in a diet-specific trial in subjects with stable SLE, who are on low dose prednisolone. Both diets were equally tolerable, and did not cause flares in disease activity. Our results suggest that dietary manipulation may significantly improve fatigue in subjects with SLE.";2010-2012
10;Influenza A/H1N1 vaccination of patients with SLE: can antimalarial drugs restore diminished response under immunosuppressive therapy?;2012;Rheumatology (Oxford, England);Borba EF;"OBJECTIVE: To assess the efficacy and safety of pandemic 2009 influenza A (H1N1)  in SLE under different therapeutic regimens. METHODS: A total of 555 SLE patients and 170 healthy controls were vaccinated with a single dose of a non-adjuvanted preparation. According to current therapy, patients were initially classified as  SLE No Therapy (n = 75) and SLE with Therapy (n = 480). Subsequent evaluations included groups under monotherapy: chloroquine (CQ) (n = 105), prednisone (PRED)  >/=20 mg (n = 76), immunosuppressor (IS) (n = 95) and those with a combination of these drugs. Anti-H1N1 titres and seroconversion (SC) rate were evaluated at entry and 21 days post-vaccination. RESULTS: The SLE with Therapy group had lower SC compared with healthy controls (59.0 vs 80.0%; P < 0.0001), whereas the SLE No Therapy group had equivalent SC (72 vs 80.0%; P = 0.18) compared with healthy controls. Further comparison revealed that the SC of SLE No Therapy (72%) was similar to the CQ group (69.5%; P = 0.75), but it was significantly reduced in PRED >/=20 mg (53.9%; P = 0.028), IS (55.7%; P = 0.035) and PRED >/=20 mg + IS (45.4%; P = 0.038). The concomitant use of CQ in each of these later regimens was associated with SC responses comparable with SLE No Therapy group (72%): PRED >/=20 mg + CQ (71.4%; P = 1.00), IS + CQ (65.2%; P = 0.54) and PRED >/=20 mg + IS + CQ (57.4%; P = 0.09). CONCLUSION: Pandemic influenza A H1N1/2009 vaccine response is diminished in SLE under immunosuppressive therapy and antimalarials seems to restore this immunogenicity. Trial registration. www.clinicaltrials.gov, NCT01151644.";2010-2012
